iter	Passed	Remaining
0	144	144096
1	144	72295
2	145	48420
3	146	36436
4	147	29277
5	147	24494
6	148	21087
7	149	18535
8	150	16536
9	150	14943
10	151	13640
11	152	12558
12	153	11636
13	153	10835
14	154	10159
15	155	9556
16	156	9031
17	156	8558
18	157	8136
19	158	7752
20	158	7408
21	159	7097
22	160	6808
23	160	6545
24	161	6308
25	162	6084
26	163	5878
27	163	5687
28	164	5508
29	165	5343
30	166	5189
31	166	5042
32	167	4905
33	168	4776
34	168	4655
35	169	4538
36	170	4428
37	170	4326
38	171	4227
39	172	4131
40	172	4043
41	173	3959
42	174	3877
43	174	3800
44	175	3726
45	176	3656
46	176	3586
47	177	3523
48	178	3463
49	179	3404
50	179	3346
51	180	3291
52	181	3238
53	181	3187
54	182	3137
55	183	3090
56	183	3043
57	184	2999
58	185	2954
59	185	2912
60	186	2872
61	187	2833
62	187	2795
63	188	2758
64	189	2723
65	190	2689
66	190	2655
67	191	2618
68	191	2586
69	192	2554
70	192	2524
71	193	2496
72	194	2470
73	195	2442
74	195	2415
75	196	2388
76	197	2363
77	197	2337
78	198	2312
79	198	2288
80	199	2264
81	200	2240
82	200	2217
83	201	2195
84	201	2171
85	202	2150
86	202	2127
87	203	2108
88	204	2088
89	204	2070
90	205	2051
91	206	2033
92	206	2015
93	207	1998
94	207	1981
95	208	1964
96	209	1949
97	210	1933
98	210	1918
99	211	1902
100	212	1887
101	212	1869
102	213	1855
103	213	1840
104	214	1827
105	214	1813
106	215	1799
107	216	1786
108	216	1773
109	217	1760
110	218	1747
111	218	1735
112	219	1723
113	220	1711
114	220	1699
115	221	1687
116	222	1677
117	223	1666
118	223	1654
119	224	1644
120	225	1635
121	225	1625
122	226	1612
123	226	1601
124	227	1591
125	228	1581
126	228	1572
127	229	1561
128	229	1551
129	230	1542
130	231	1533
131	231	1524
132	232	1515
133	233	1506
134	233	1497
135	234	1488
136	235	1480
137	235	1471
138	236	1463
139	236	1455
140	237	1447
141	238	1439
142	239	1432
143	239	1426
144	240	1419
145	241	1411
146	242	1404
147	242	1397
148	243	1389
149	244	1382
150	244	1375
151	245	1368
152	246	1362
153	246	1355
154	247	1348
155	248	1342
156	248	1335
157	249	1329
158	250	1322
159	250	1316
160	251	1310
161	252	1304
162	252	1298
163	253	1292
164	254	1286
165	255	1281
166	255	1275
167	256	1269
168	257	1263
169	257	1258
170	258	1252
171	258	1246
172	259	1240
173	260	1234
174	260	1229
175	261	1223
176	262	1218
177	262	1213
178	263	1207
179	263	1202
180	264	1195
181	264	1190
182	265	1185
183	266	1180
184	266	1174
185	267	1169
186	267	1164
187	268	1160
188	269	1155
189	269	1150
190	270	1146
191	271	1141
192	271	1137
193	272	1132
194	273	1127
195	273	1123
196	274	1119
197	275	1114
198	275	1109
199	276	1105
200	276	1100
201	277	1096
202	278	1092
203	278	1087
204	279	1083
205	280	1079
206	280	1075
207	281	1070
208	281	1066
209	282	1062
210	283	1058
211	283	1054
212	284	1050
213	284	1046
214	285	1042
215	286	1038
216	286	1034
217	287	1031
218	288	1027
219	288	1023
220	289	1019
221	289	1015
222	290	1012
223	291	1008
224	291	1004
225	292	1001
226	292	997
227	293	994
228	294	990
229	294	987
230	295	983
231	296	980
232	296	976
233	297	973
234	297	970
235	298	967
236	299	964
237	300	960
238	300	958
239	301	955
240	302	951
241	302	948
242	303	945
243	304	941
244	304	938
245	305	935
246	305	932
247	306	929
248	307	926
249	307	923
250	308	920
251	309	917
252	309	914
253	310	911
254	310	908
255	311	905
256	312	902
257	312	899
258	313	896
259	313	893
260	314	890
261	315	887
262	315	885
263	316	882
264	317	880
265	318	877
266	318	874
267	319	871
268	319	869
269	320	866
270	321	863
271	321	860
272	322	857
273	322	855
274	323	852
275	323	849
276	324	847
277	325	844
278	325	842
279	326	839
280	327	836
281	327	834
282	328	831
283	329	829
284	329	827
285	330	825
286	331	823
287	332	821
288	333	819
289	333	817
290	334	814
291	335	812
292	335	809
293	336	807
294	336	805
295	337	802
296	338	800
297	338	798
298	339	795
299	339	793
300	340	790
301	341	788
302	341	786
303	342	784
304	343	781
305	343	779
306	344	777
307	344	775
308	345	773
309	346	770
310	347	769
311	347	767
312	348	765
313	349	762
314	349	760
315	350	758
316	350	756
317	351	754
318	352	751
319	352	749
320	353	747
321	354	745
322	354	743
323	355	740
324	355	738
325	356	736
326	357	735
327	357	732
328	358	730
